eventID,occurrenceID,associatedMedia,basisOfRecord,identificationVerificationStatus,identifiedBy,verbatimIdentification,scientificName,scientificNameID,kingdom,occurrenceStatus,institutionCode
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00865_Cylindrotheca,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00865.png,MachineObservation,ValidatedByHuman,jaymesmi,Cylindrotheca,Cylindrotheca,urn:lsid:marinespecies.org:taxname:149003,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00869_Bacillariophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00869.png,MachineObservation,ValidatedByHuman,hsosik,Bacillariophyceae,Bacillariophyceae,urn:lsid:marinespecies.org:taxname:148899,NaN,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00870_ciliate,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00870.png,MachineObservation,ValidatedByHuman,hsosik,ciliate,Spirotrichea,urn:lsid:marinespecies.org:taxname:1348,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00882_Dinophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00882.png,MachineObservation,ValidatedByHuman,hsosik,Dinophyceae,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00888_Leptocylindrus,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00888.png,MachineObservation,ValidatedByHuman,rshipe,Leptocylindrus,Leptocylindrus,urn:lsid:marinespecies.org:taxname:149038,NaN,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00905_Mesodinium,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00905.png,MachineObservation,ValidatedByHuman,kkenitz,Mesodinium,Mesodinium,urn:lsid:marinespecies.org:taxname:179320,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00937_Dinophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00937.png,MachineObservation,ValidatedByHuman,hsosik,Dinophyceae,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,NaN,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00983_Bacillariophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00983.png,MachineObservation,ValidatedByHuman,hsosik,Bacillariophyceae,Bacillariophyceae,urn:lsid:marinespecies.org:taxname:148899,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_00987_Bacillariophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_00987.png,MachineObservation,ValidatedByHuman,hsosik,Bacillariophyceae,Bacillariophyceae,urn:lsid:marinespecies.org:taxname:148899,NaN,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_01013_ciliate,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_01013.png,MachineObservation,ValidatedByHuman,hsosik,ciliate,Spirotrichea,urn:lsid:marinespecies.org:taxname:1348,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_01022_Dinophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_01022.png,MachineObservation,ValidatedByHuman,hsosik,Dinophyceae,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_01063_Bacillariophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_01063.png,MachineObservation,ValidatedByHuman,hsosik,Bacillariophyceae,Bacillariophyceae,urn:lsid:marinespecies.org:taxname:148899,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_01073_Bacillariophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_01073.png,MachineObservation,ValidatedByHuman,hsosik,Bacillariophyceae,Bacillariophyceae,urn:lsid:marinespecies.org:taxname:148899,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_01090_Ceratium fusus,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_01090.png,MachineObservation,ValidatedByHuman,kkenitz,Ceratium fusus,Tripos fusus,urn:lsid:marinespecies.org:taxname:840626,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_01127_Cylindrotheca,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_01127.png,MachineObservation,ValidatedByHuman,jaymesmi,Cylindrotheca,Cylindrotheca,urn:lsid:marinespecies.org:taxname:149003,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_01137_Dinophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_01137.png,MachineObservation,ValidatedByHuman,hsosik,Dinophyceae,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,Chromista,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_01162_Dinophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_01162.png,MachineObservation,ValidatedByHuman,hsosik,Dinophyceae,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,NaN,present,Axiom ROR
D20180406T033616_IFCB115,D20180406T033616_IFCB115_01163_Dinophyceae,https://ifcb-data.whoi.edu/SIO_Delmar_mooring/D20180406T033616_IFCB115_01163.png,MachineObservation,ValidatedByHuman,hsosik,Dinophyceae,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,Protozoa,present,Axiom ROR
